Domain,Location on Site,Tech Spend USD,Sales Revenue USD,Social,Employees,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,TikTok,Threads,X,Weibo,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,Exclusion,Compliance
"balsamhill.com","blog.balsamhill.com","$5000","","200000","1","Balsam Hill","Art And Entertainment","1604","26615","69007","98743","ph:+1-336-419-0960;+1-650-863-5466;+1-877-442-2572;+1-800-350-7114;+1-877-993-6556;+1-650-855-8663","customerservice@balsamhill.com;corporatesales@balsamhill.com;jobs@balsamhill.com;content@balsamhill.com;social@balsamhill.com;media@balsamhill.com","twitter.com/balsamhill","facebook.com/balsamhill","linkedin.com/company/balsam-hill","","pinterest.com/balsamhill","","instagram.com/balsamhill","","","youtube.com/user/balsamhillvideos","tiktok.com/@balsamhillfr","","x.com/balsamhill","","N/A - Sales - n/a@balsamhill.com; N/A - Founder - n/a@balsamhill.com","Redwood City","CA","94061","US","2022-12-19","2025-03-03","2006-10-10","2025-03-08","-","California CCPA"
"bg.ac.rs","excellmater.tmf.bg.ac.rs","$2000","","0","1000","University of Belgrade","Sports","114647","69497","11637","54745","ph:","jerkov@unilib.bg.ac.rs;kabinet@rect.bg.ac.rs;branka.janda.markovic@rect.bg.ac.rs;kostrm@rect.bg.ac.rs;stamlj@rect.bg.ac.rs;milena.sikanic@rect.bg.ac.rs;jovana.ilic@rect.bg.ac.rs;svetlana.kostic@rect.bg.ac.rs;dusan.bugarski@rect.bg.ac.rs;nikola.savic@rect.bg.ac.rs;tamara.rokvic@rect.bg.ac.rs;icub@rect.bg.ac.rs;tamara.cicmil@rect.bg.ac.rs;marta.atanaskovic@rect.bg.ac.rs","","","","","","","","","","","","","","","","Belgrade","","","RS","2024-12-28","2025-02-27","2008-11-30","2025-03-08","-","-"
"bham.ac.uk","conferences.bham.ac.uk","$5000","$37329","500","0","University of Birmingham","Science","53825","455943","4052","59831","ph:","","twitter.com/ideaslabproject","","linkedin.com/company/166627","","","","","","","","","","","","","Birmingham","WMID","B1","GB","2023-04-30","2025-02-27","2001-10-24","2025-03-08","-","GDPR United Kingdom"
"bilkent.edu.tr","history.bilkent.edu.tr","$2000","","50000","1000","Bilkent University","Education","78306","84030","12176","101990","ph:+1-312-290-1075;+1-312-290-5065;+1-312-290-6941;+1-312-266-4047;+1-312-266-4391;+1-312-290-8042","eme@bilkent.edu.tr;unam@unam.bilkent.edu.tr;facility@unam.bilkent.edu.tr;msn@unam.bilkent.edu.tr;utility@unam.bilkent.edu.tr;dogan@unam.bilkent.edu.tr;utilitiy@unam.bilkent.edu.tr;funda@unam.bilkent.edu.tr","twitter.com/bilkentuniv","facebook.com/bilkentieee","","","","","instagram.com/bilkentuniv","","","youtube.com/user/bilkentlibrary","","","","","","Bilkent","68","06800","TR","2023-11-21","2024-12-28","2007-10-01","2025-03-08","-","-"
"birdlife.org","alianzadelpastizal.birdlife.org","$2000","","50000","0","Birdlife International","Science","66016","30997","8180","Outside Top 1m","ph:+44-1223-277318;+61-362-062941;+44-30-22555015","communications@birdlife.org;birdlife@birdlife.org;birdlife-africa@birdlife.org;americas@birdlife.org;europe@birdlife.org;suva.office@birdlife.org;singapore.office@birdlife.org;webeditor@birdlife.org;comms@birdlife.org;privacy@birdlife.org","twitter.com/birdlife_news","facebook.com/birdlifeinternational","linkedin.com/company/birdlife-international","","","","instagram.com/birdlife_insta","","","youtube.com/user/birdlifevideo","","","x.com/birdlife_news","","N/A - Other - n/a@birdlife.org; N/A - Director - n/a@birdlife.org; N/A - Board - n/a@birdlife.org; N/A - President - n/a@birdlife.org; N/A - Csuite - n/a@birdlife.org","Tanglin Road","SG","Singapore","SG","2023-09-19","2025-02-27","2006-10-06","2025-03-08","-","-"
"bizjournals.com","advertise.bizjournals.com","$10000","","50000","0","American City Business Journals Inc","Business And Industrial","3208","657","408","5674","ph:+1-212-381-7201;+1-800-426-8020","channels@bizjournals.com","twitter.com/bizjournals","facebook.com/bizjournals","linkedin.com/company/bizjournals","","","","","","","","","","","","N/A - Csuite - n/a@bizjournals.com; N/A - Founder - n/a@bizjournals.com","Milwaukee","WI","53202","US","2022-02-27","2025-03-03","2000-10-13","2025-03-08","-","-"
"bizzabo.com","bizzabo.com","$5000","","2000","100","Bizzabo","Business And Industrial","24697","36974","11139","10616","ph:+1-646-517-1135","jobs@bizzabo.com;support@bizzabo.com;info@bizzabo.com;press@bizzabo.com;rachel@bizzabo.com;alon@bizzabo.com;eran@bizzabo.com;amir@bizzabo.com;afainshtein@bizzabo.com;ios.position@bizzabo.com;alex@bizzabo.com;alex_fainshtein@bizzabo.com;alex.fainshtein@bizzabo.com;marketing@bizzabo.com;legal@bizzabo.com;privacy@bizzabo.com;blog@bizzabo.com","twitter.com/bizzabo","facebook.com/bizzabo","linkedin.com/company/bizzabo","","","","instagram.com/bizzabo","","","","","","","","N/A - Bizdev - n/a@bizzabo.com; N/A - Support - n/a@bizzabo.com; N/A - Account - n/a@bizzabo.com; N/A - Software - n/a@bizzabo.com; N/A - Other - n/a@bizzabo.com; N/A - Marketing - n/a@bizzabo.com; N/A - Sales - n/a@bizzabo.com; N/A - Director - n/a@bizzabo.com; N/A - Manager - n/a@bizzabo.com; N/A - President - n/a@bizzabo.com; N/A - Founder - n/a@bizzabo.com","New York City","NY","10001","US","2023-01-10","2025-02-25","2010-12-02","2025-03-08","-","-"
"bolha.com","app.bolha.com","$1000","","500","0","","","266403","130477","204965","127959","ph:","info@bolha.com;podpora@bolha.com;brez.skrbi@bolha.com","twitter.com/bolhacom","facebook.com/bolhacom","","","","","instagram.com/bolhacom.malioglasi","","","youtube.com/user/bolhacom","tiktok.com/@bolhacom","","","","","","","","","2021-12-14","2024-11-02","2005-10-02","2025-03-08","-","-"
"boyner.com.tr","boyner.com.tr/*","$1000","$435587","1500000","1000","Boyner Buyuk MagazacilikA.S","Style And Fashion","174345","36375","239181","75434","ph:","online@boyner.com.tr;azmi.uzunoner@boyner.com.tr;e.ticaret@boyner.com.tr;e-ticaret@boyner.com.tr;nline@boyner.com.tr;tugba.uysal@boyner.com.tr;ali.adana@boyner.com.tr;info@boyner.com.tr;kurumsal@boyner.com.tr","twitter.com/boyneronline","facebook.com/boyneronline","linkedin.com/company/boyner-grup","","pinterest.com/boyneronline","","instagram.com/boyner","","","youtube.com/user/boynermagazalari","","","","","N/A - Other - n/a@boyner.com.tr; N/A - Marketing - n/a@boyner.com.tr; N/A - Director - n/a@boyner.com.tr; N/A - Manager - n/a@boyner.com.tr","","","","TR","2024-12-22","2025-02-06","2003-10-25","2025-03-01","-","-"
"brasildefato.com.br","brasildefato.com.br/*","$500","","500000","0","Brasil de Fato","Art And Entertainment","120265","46684","22269","Outside Top 1m","ph:","jornalismo@brasildefato.com.br","twitter.com/brasildefato","facebook.com/brasildefato","","","","","instagram.com/brasildefato","","","youtube.com/user/brasildefato","","","","","","","","","BR","2025-02-18","2025-02-18","2004-10-16","2025-02-18","-","-"
"calpoly.edu","ceenve.calpoly.edu","$10000","","50000","0","California Polytechnic State University  San Luis Obispo","Education","9550","31311","4627","56026","ph:+1-805-756-1111;+1-805-756-5760;+1-805-756-5484;+1-800-783-0607;+1-805-756-2328;+1-805-756-2053;+1-855-886-7473;+1-805-756-1477;+1-805-756-2301","admissions@calpoly.edu;alumni@calpoly.edu","twitter.com/calpoly","facebook.com/calpoly","","","","","instagram.com/calpoly","","","youtube.com/user/calpoly","","","","","N/A - Director - n/a@calpoly.edu; N/A - President - n/a@calpoly.edu; N/A - Founder - n/a@calpoly.edu","San Luis Obispo","CA","93405","US","2025-01-31","2025-02-27","2000-02-29","2025-03-08","-","California CCPA"
"carleton.edu","participatoryactionresearch.sites.carleton.edu","$10000","","5000","100","Carleton College","Education","8046","26043","5258","50592","ph:+1-507-222-4068;+1-507-222-4000;+1-800-758-9441","clivingston@carleton.edu;bnagel@carleton.edu;kcardena@carleton.edu;campushandbook@lists.carleton.edu;dpape@carleton.edu;admissions@carleton.edu;alumni-office@carleton.edu;media@carleton.edu;webmster@carleton.edu;webmaster@carleton.edu;dbratland@carleton.edu;hclarke@carleton.edu;communications@carleton.edu","twitter.com/carletoncollege","facebook.com/carletoncollege","linkedin.com/company/carleton-college","","","","instagram.com/carletoncollege","","","youtube.com/user/carletonknights","","","","","","Northfield","MN","55057","US","2025-01-21","2025-01-21","2001-02-23","2025-03-08","-","-"
